Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Discrete_CPU\PCB_Project\Project Outputs for 4-Bit-Register\Generates pick and place files\Pick Place for 4-Bit_Register_Design2.txt

========================================================================================================================
File Design Information:

Date:       18/06/23
Time:       01:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                    Layer    Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                         
R20        100R                       TopLayer R1206                       1322.835      767.716       270      "Part (FCR1206J100RP05Z) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/Ever_OhmsTech-FCR1206J100RP05Z/C153338" 
R19        100R                       TopLayer R1206                       905.512       787.402       90       "Part (FCR1206J100RP05Z) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/Ever_OhmsTech-FCR1206J100RP05Z/C153338" 
R18        1000R                      TopLayer R0805                       1322.835      153.543       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R17        1000R                      TopLayer R0805                       1322.835      307.087       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R16        1000R                      TopLayer R0805                       906.496       153.543       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R15        1000R                      TopLayer R0805                       906.476       306.158       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R14        1000R                      TopLayer R0805                       1322.835      460.630       90       "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R13        1000R                      TopLayer R0805                       1322.835      614.173       90       "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R12        1000R                      TopLayer R0805                       906.496       460.630       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R11        1000R                      TopLayer R0805                       906.496       614.173       90       "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R10        100R                       TopLayer R1206                       492.126       787.402       90       "Part (FCR1206J100RP05Z) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/Ever_OhmsTech-FCR1206J100RP05Z/C153338" 
R9         100R                       TopLayer R1206                       78.740        787.402       90       "Part (FCR1206J100RP05Z) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/Ever_OhmsTech-FCR1206J100RP05Z/C153338" 
R8         1000R                      TopLayer R0805                       488.189       153.543       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R7         1000R                      TopLayer R0805                       488.189       307.087       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R6         1000R                      TopLayer R0805                       78.740        153.543       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R5         1000R                      TopLayer R0805                       78.740        307.087       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R4         1000R                      TopLayer R0805                       488.189       460.630       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R3         1000R                      TopLayer R0805                       488.189       614.173       90       "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R2         1000R                      TopLayer R0805                       78.740        460.630       270      "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
R1         1000R                      TopLayer R0805                       78.740        614.173       90       "Part (
ARG05FTC1001) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/VikingTech-ARG05FTC1001/C218388"          
Q40        N_MOSFET                   TopLayer SOT23-3                     1598.071      153.543       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q39        N_MOSFET                   TopLayer SOT23-3                     1444.461      153.543       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q38        N_MOSFET                   TopLayer SOT23-3                     1182.086      153.543       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q37        N_MOSFET                   TopLayer SOT23-3                     1028.543      153.543       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q36        N_MOSFET                   TopLayer SOT23-3                     1598.425      287.401       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q35        N_MOSFET                   TopLayer SOT23-3                     1444.882      287.401       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q34        N_MOSFET                   TopLayer SOT23-3                     1182.086      287.402       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
Q33        N_MOSFET                   TopLayer SOT23-3                     1028.543      287.402       90       "Part (2N7002KQ-71) can be found on JLCPCB Parts Search: https://jlcpcb.com/partdetail/DiodesIncorporated-2N7002KQ7/C111971"        
